Harvánek Pavel;[2002];['NEZÁVISLÍ'];['2718'];['5.35'];['6'];['1'];['48'];['NO'];1
Havelka Jan;[2002, 2006, 2018];['Občanská demokratická strana', 'Občanská demokratická strana', 'Občanská demokratická strana'];['6389', '7695', '2188'];['2.33', '2.35', '2.19'];['33', '36', '38'];['20', '24', '34'];['33', '37', '49'];['NO', 'NO', 'NO'];0
Havlík René;[2002];['Česká str.sociálně demokrat.'];['4264'];['2.74'];['10'];['3'];['34'];['NO'];1
Havránek Jiří;[2002];['Naděje'];['160'];['1.76'];['36'];['\xa0'];['46'];['NO'];0
Havránková Kateřina;[2002];['Strana svobodných severu'];['66'];['1.87'];['20'];['\xa0'];['31'];['NO'];0
Helšusová Dagmar;[2002];['Str.pro otevřenou společnost'];['5463'];['5.58'];['1'];['1'];['51'];['YES'];0
Hlavatá Veronika;[2002];['Hn.za harm.rozvoj obcí a měst'];['401'];['2.06'];['19'];['\xa0'];['54'];['NO'];0
Hlavatý Josef;[2002];['Hn.za harm.rozvoj obcí a měst'];['383'];['1.97'];['25'];['\xa0'];['55'];['NO'];0
Hnělička Stanislav;[2002];['Křesť.demokr.unie-Čs.str.lid.'];['1147'];['3.23'];['3'];['\xa0'];['45'];['NO'];1
Holas Richard;[2002];['Hn.za harm.rozvoj obcí a měst'];['382'];['1.97'];['28'];['\xa0'];['42'];['NO'];0
Holek Jozef;[2002];['Občanská demokratická strana'];['6749'];['2.47'];['29'];['16'];['41'];['NO'];1
Honců Marcela;[2002];['NEZÁVISLÍ'];['1038'];['2.04'];['18'];['16'];['58'];['NO'];0
Horáková Eva;[2002, 2006, 2010];['Demokratická regionální strana', 'Unie pro sport a zdraví', 'Demokratická regionální strana'];['1235', '1944', '996'];['2.05', '1.89', '2.09'];['28', '38', '23'];['25', '35', '-'];['44', '48', '52'];['NO', 'NO', 'NO'];0
Hornychová Leona;[2002];['Česká str.sociálně demokrat.'];['3832'];['2.46'];['26'];['19'];['24'];['NO'];0
Hoření Vladimíra;[2002];['Demokratická regionální strana'];['2537'];['4.21'];['4'];['1'];['48'];['NO'];1
Hostonský Milan;[2002];['Křesť.demokr.unie-Čs.str.lid.'];['851'];['2.39'];['17'];['\xa0'];['32'];['NO'];0
Hozáková Valpurga;[2002];['Volba pro město'];['897'];['2.12'];['17'];['\xa0'];['56'];['NO'];0
Hromek Zbyněk;[2002];['Občanská demokratická strana'];['7163'];['2.62'];['18'];['5'];['36'];['NO'];1
Hron Michal;[2002];['Str.pro otevřenou společnost'];['2951'];['3.01'];['10'];['2'];['53'];['NO'];1
Hruša František;[2002];['Česká str.sociálně demokrat.'];['4658'];['2.99'];['2'];['3'];['53'];['YES'];1
Hubáček Zdeněk;[2002];['Strana občanského porozumění'];['89'];['2.64'];['10'];['\xa0'];['48'];['NO'];0
Hunka Eduard;[2002, 2014, 2018];['Česká str.sociálně demokrat.', 'Česká str.sociálně demokrat.', 'Česká str.sociálně demokrat.'];['4157', '2457', '598'];['2.67', '2.39', '2.37'];['11', '33', '21'];['4', '29', '-'];['55', '67', '71'];['NO', 'NO', 'NO'];0
Hunková Jindřiška;[2002];['Česká str.sociálně demokrat.'];['3906'];['2.51'];['22'];['15'];['47'];['NO'];0
Hušek Martin;[2002];['Křesť.demokr.unie-Čs.str.lid.'];['1430'];['4.03'];['1'];['\xa0'];['38'];['NO'];1
Hůza Ladislav;[2002];['Pravý Blok'];['105'];['3.65'];['15'];['\xa0'];['61'];['NO'];0
Hůzová Veronika;[2002];['Pravý Blok'];['117'];['4.07'];['11'];['\xa0'];['20'];['NO'];0
Hýzlerová Dagmar;[2002];['Strana svobodných severu'];['161'];['4.56'];['5'];['\xa0'];['56'];['NO'];0
Chalupná Zuzana;[2002];['Str.pro otevřenou společnost'];['2790'];['2.85'];['6'];['4'];['32'];['NO'];1
Charvát Milan;[2002];['Občanská demokratická strana'];['7176'];['2.62'];['15'];['2'];['34'];['NO'];1
Chvála Vladislav;[2002];['Volba pro město'];['1712'];['4.05'];['26'];['\xa0'];['50'];['NO'];1
Jágr Rudolf;[2002];['Komunistická str.Čech a Moravy'];['2853'];['2.69'];['7'];['2'];['59'];['NO'];1
Janata Jiří;[2002];['Unie pro sport a zdraví'];['4132'];['5.83'];['2'];['1'];['49'];['YES'];1
Jandová Helena;[2002];['Naděje'];['161'];['1.78'];['35'];['\xa0'];['51'];['NO'];0
Janeček Jiří;[2002];['Demokratická regionální strana'];['1372'];['2.27'];['15'];['13'];['42'];['NO'];0
Janeček Jiří;[2002, 2006, 2010, 2014];['Str.pro otevřenou společnost', 'NEZ.DEMOKRATÉ(předs.V.Železný)', 'Suverenita-blok J.Bobošíkové', 'Úsvit přímé demokracie'];['2192', '157', '861', '414'];['2.23', '8.13', '3.62', '2.85'];['24', '4', '1', '4'];['20', '-', '-', '-'];['53', '57', '61', '65'];['NO', 'NO', 'NO', 'NO'];0
Janků Jaroslav;[2002];['Unie svobody-Demokratická unie'];['1274'];['2.35'];['23'];['21'];['23'];['NO'];0
Janoušek Radko;[2002];['Občanská demokratická strana'];['7844'];['2.87'];['12'];['3'];['58'];['YES'];1
Januška Tomáš;[2002];['Česká str.sociálně demokrat.'];['3395'];['2.18'];['35'];['28'];['36'];['NO'];0
Jarošová Naděžda;[2002, 2006, 2010, 2018];['Občanská demokratická strana', 'Občanská demokratická strana', 'Občanská demokratická strana', 'Občanská demokratická strana'];['7277', '8471', '5620', '2556'];['2.66', '2.59', '2.60', '2.56'];['7', '7', '9', '14'];['8', '7', '1', '10'];['46', '50', '54', '62'];['YES', 'YES', 'NO', 'NO'];0
Jašurek Miroslav;[2002];['Republikáni Miroslava Sládka'];['133'];['9.07'];['3'];['\xa0'];['30'];['NO'];0
Javůrek Vladimír;[2002];['Strana občanského porozumění'];['86'];['2.55'];['12'];['\xa0'];['42'];['NO'];0
Jebavý Marek;[2002];['Republikáni Miroslava Sládka'];['108'];['7.37'];['5'];['\xa0'];['29'];['NO'];0
Jedlan Vladimír;[2002];['Naděje'];['250'];['2.76'];['5'];['\xa0'];['28'];['NO'];0
Jedlička Lukáš;[2002];['Republikáni Miroslava Sládka'];['92'];['6.27'];['11'];['\xa0'];['18'];['NO'];0
Jech Ctibor;[2002, 2006, 2010, 2014, 2018];['Občanská demokratická strana', 'Občanská demokratická strana', 'Občanská demokratická strana', 'Občanská demokratická strana', 'Občanská demokratická strana'];['7384', '8647', '5658', '1277', '2650'];['2.70', '2.65', '2.62', '2.42', '2.66'];['11', '5', '12', '33', '18'];['12', '5', '4', '31', '14'];['53', '57', '61', '65', '69'];['YES', 'YES', 'NO', 'NO', 'NO'];0
Jelínková Emília;[2002, 2006];['Unie pro sport a zdraví', 'Unie pro sport a zdraví'];['1492', '2251'];['2.10', '2.20'];['17', '19'];['15', '16'];['48', '52'];['NO', 'NO'];0
Jeništová Dana;[2002];['Demokratická regionální strana'];['1431'];['2.37'];['18'];['15'];['44'];['NO'];1
Jeřábek Petr;[2002];['Unie pro sport a zdraví'];['1621'];['2.28'];['27'];['24'];['36'];['NO'];0
Jestřáb Petr;[2002];['Strana občanského porozumění'];['98'];['2.90'];['20'];['\xa0'];['44'];['NO'];0
Ježek Aleš;[2002];['Křesť.demokr.unie-Čs.str.lid.'];['1026'];['2.89'];['9'];['\xa0'];['52'];['NO'];1
Ježek Josef;[2002];['Česká str.sociálně demokrat.'];['3671'];['2.36'];['31'];['24'];['56'];['NO'];1
Ježek Vladimír;[2002];['Unie pro sport a zdraví'];['1362'];['1.92'];['33'];['30'];['37'];['NO'];0
Jirásko Zdeněk;[2002];['Str.pro otevřenou společnost'];['2039'];['2.08'];['32'];['28'];['49'];['NO'];0
Jirkův Petr;[2002];['Hn.za harm.rozvoj obcí a měst'];['602'];['3.10'];['7'];['\xa0'];['46'];['NO'];1
Jírová Jarmila;[2002];['Naděje'];['182'];['2.01'];['28'];['\xa0'];['40'];['NO'];0
Jirsák Vlastimil;[2002];['Unie svobody-Demokratická unie'];['958'];['1.77'];['39'];['37'];['47'];['NO'];0
Jozífková Naděžda;[2002, 2006, 2010];['Občanská demokratická strana', 'Občanská demokratická strana', 'Občanská demokratická strana'];['7727', '8761', '5782'];['2.82', '2.68', '2.67'];['2', '3', '2'];['4', '3', '2'];['41', '45', '49'];['YES', 'YES', 'YES'];0
Juklíček Petr;[2002];['Hn.za harm.rozvoj obcí a měst'];['420'];['2.16'];['14'];['\xa0'];['38'];['NO'];0
Kačerová Jaroslava;[2002];['Str.pro otevřenou společnost'];['1845'];['1.88'];['35'];['31'];['72'];['NO'];0
Kačerová Jolana;[2002, 2006];['Str.pro otevřenou společnost', 'NEZ.DEMOKRATÉ(předs.V.Železný)'];['2153', '141'];['2.19', '7.30'];['26', '8'];['22', '-'];['49', '53'];['NO', 'NO'];0
Kafka Alois;[2002];['Občanská demokratická strana'];['6191'];['2.26'];['37'];['24'];['61'];['NO'];1
Kafka Petr;[2002];['Naděje'];['219'];['2.42'];['9'];['\xa0'];['25'];['NO'];0
Kafka Petr;[2002];['Naděje'];['169'];['1.86'];['33'];['\xa0'];['45'];['NO'];0
Kalibová Dana;[2002];['Demokratická regionální strana'];['1375'];['2.28'];['14'];['12'];['48'];['NO'];0
Karásková Lucie;[2002, 2006, 2010];['Komunistická str.Čech a Moravy', 'Komunistická str.Čech a Moravy', 'Komunistická str.Čech a Moravy'];['2690', '2530', '2105'];['2.53', '2.55', '2.50'];['20', '20', '26'];['15', '17', '23'];['22', '26', '30'];['NO', 'NO', 'NO'];0
Kárník František;[2002];['Demokratická regionální strana'];['2702'];['4.48'];['10'];['3'];['54'];['YES'];1
Kašpar Bohumil;[2002, 2018];['Česká str.sociálně demokrat.', 'Česká str.sociálně demokrat.'];['3902', '468'];['2.51', '1.85'];['23', '39'];['16', '-'];['54', '70'];['NO', 'NO'];0
